"Title","Sex","Age_Class","Year"
"405",NA,"Adult",1990
"406","FemaleJ","Adult",1990
"407","FemaleJ","Adult",1990
"409","FemaleJ","Adult",1990
"413","Male","Adult",1990
"418","FemaleJ","Adult",1990
"420","FemaleJ","Adult",1990
"425",NA,"Adult",1990
"427",NA,"Adult",1990
"43",NA,"Adult",1990
"432",NA,"Adult",1990
"433",NA,"Adult",1990
"435",NA,"Juvenile",1990
"436",NA,"Adult",1990
"437","FemaleJ","Juvenile",1990
"440","FemaleJ","Adult",1990
"448",NA,"Adult",1990
"449",NA,"Juvenile",1990
"45","Male","Adult",1990
"450",NA,"Juvenile",1990
"452","Male","Adult",1990
"453",NA,"Adult",1990
"46",NA,"Adult",1990
"461",NA,"Adult",1990
"462","FemaleJ","Adult",1990
"464",NA,"Adult",1990
"465",NA,"Adult",1990
"466",NA,"Juvenile",1990
"467",NA,"Adult",1990
"468",NA,"Adult",1990
"47","FemaleJ","Adult",1990
"470",NA,"Adult",1990
"473",NA,"Adult",1990
"477","FemaleJ","Adult",1990
"478",NA,"Adult",1990
"479",NA,"Adult",1990
"480","Male","Adult",1990
"483",NA,"Adult",1990
"484","FemaleJ","Adult",1990
"488",NA,"Adult",1990
"490",NA,"Adult",1990
"494","Male","Adult",1990
"496","Male","Adult",1990
"498",NA,"Adult",1990
"5",NA,"Adult",1990
"501",NA,"Adult",1990
"504","Male","Adult",1990
"507","FemaleJ","Adult",1990
"508",NA,"Adult",1990
"509","Male","Adult",1990
"51","FemaleJ","Adult",1990
"510",NA,"Adult",1990
"518",NA,"Adult",1990
"531","FemaleJ","Adult",1990
"532",NA,"Adult",1990
"537",NA,"Juvenile",1990
"539",NA,"Adult",1990
"54","FemaleJ","Adult",1990
"544",NA,"Adult",1990
"545",NA,"Adult",1990
"547","FemaleJ","Adult",1990
"549","Male","Adult",1990
"554",NA,"Adult",1990
"555",NA,"Adult",1990
"558","Male","Adult",1990
"561",NA,"Adult",1990
"562","Male","Adult",1990
"563",NA,"Adult",1990
"57",NA,"Adult",1990
"59","FemaleJ","Juvenile",1990
"61","FemaleJ","Adult",1990
"63",NA,"Adult",1990
"64","FemaleJ","Adult",1990
"74","Male","Adult",1990
"76","Male","Adult",1990
"78",NA,"Adult",1990
"83",NA,"Adult",1990
"85","FemaleJ","Adult",1990
"89","FemaleJ","Adult",1990
"9","FemaleJ","Adult",1990
"92","Male","Adult",1990
"94","FemaleJ","Adult",1990
"98","FemaleJ","Adult",1990
"9902","FemaleJ","Adult",1990
"9906",NA,"Adult",1990
"9910","FemaleJ","Adult",1990
"9912",NA,"Adult",1990
"9913","FemaleJ","Adult",1990
"418","FemaleJ","Adult",1991
"572",NA,"Adult",1991
"102","Male","Adult",1993
"159","FemaleJ","Adult",1993
"235","FemaleJ","Adult",1993
"237","FemaleJ","Adult",1993
"251","FemaleJ","Adult",1993
"267","FemaleJ","Adult",1993
"29",NA,"Adult",1993
"305",NA,"Adult",1993
"317",NA,"Adult",1993
"409","FemaleJ","Adult",1993
"418","FemaleJ","Adult",1993
"432",NA,"Adult",1993
"433",NA,"Adult",1993
"45","Male","Adult",1993
"5",NA,"Adult",1993
"506","FemaleJ","Adult",1993
"507","FemaleJ","Adult",1993
"531","FemaleJ","Adult",1993
"54","FemaleJ","Adult",1993
"604",NA,"Adult",1993
"605",NA,"Adult",1993
"606","Male","Adult",1993
"607",NA,"Adult",1993
"61","FemaleJ","Adult",1993
"613",NA,"Adult",1993
"617","FemaleJ","Adult",1993
"618",NA,"Adult",1993
"619","FemaleJ","Adult",1993
"623","FemaleJ","Adult",1993
"624","FemaleJ","Adult",1993
"625","FemaleJ","Adult",1993
"626",NA,"Adult",1993
"629","FemaleJ","Adult",1993
"633","FemaleJ","Adult",1993
"635","FemaleJ","Adult",1993
"642",NA,"Adult",1993
"644",NA,"Adult",1993
"649","FemaleJ","Adult",1993
"650",NA,"Adult",1993
"653","FemaleJ","Adult",1993
"654",NA,"Adult",1993
"667","FemaleJ","Adult",1993
"668",NA,"Adult",1993
"674","FemaleJ","Adult",1993
"677","FemaleJ","Adult",1993
"683","FemaleJ","Adult",1993
"687",NA,"Adult",1993
"688",NA,"Adult",1993
"690","FemaleJ","Adult",1993
"699","FemaleJ","Adult",1993
"701","FemaleJ","Adult",1993
"702","FemaleJ","Adult",1993
"707","FemaleJ","Adult",1993
"720",NA,"Adult",1993
"722",NA,"Adult",1993
"723",NA,"Adult",1993
"9902","FemaleJ","Adult",1993
"1","Male","Adult",1994
"124","Male","Adult",1994
"131","FemaleJ","Adult",1994
"1336","FemaleJ","Adult",1994
"162","FemaleJ","Adult",1994
"18","Male","Adult",1994
"222","FemaleJ","Adult",1994
"235","FemaleJ","Adult",1994
"251","FemaleJ","Adult",1994
"3","Male","Adult",1994
"32",NA,"Adult",1994
"322","FemaleJ","Adult",1994
"385","FemaleJ","Adult",1994
"390","FemaleJ","Adult",1994
"45","Male","Adult",1994
"508",NA,"Adult",1994
"531","FemaleJ","Adult",1994
"549","Male","Adult",1994
"624","FemaleJ","Adult",1994
"629","FemaleJ","Adult",1994
"633","FemaleJ","Adult",1994
"653","FemaleJ","Adult",1994
"702","FemaleJ","Adult",1994
"707","FemaleJ","Adult",1994
"801",NA,"Adult",1994
"803",NA,"Adult",1994
"804","Male","Adult",1994
"810",NA,"Adult",1994
"811",NA,"Adult",1994
"814",NA,"Adult",1994
"818",NA,"Adult",1994
"819",NA,"Adult",1994
"822",NA,"Adult",1994
"824","Male","Adult",1994
"829",NA,"Adult",1994
"830",NA,"Juvenile",1994
"832","FemaleJ","Adult",1994
"835",NA,"Adult",1994
"837",NA,"Adult",1994
"845",NA,"Adult",1994
"848",NA,"Adult",1994
"849",NA,"Adult",1994
"850",NA,"Adult",1994
"865",NA,"Adult",1994
"866",NA,"Adult",1994
"870",NA,"Adult",1994
"871","FemaleJ","Adult",1994
"882",NA,"Adult",1994
"887",NA,"Adult",1994
"895",NA,"Adult",1994
"905","Male","Adult",1994
"907",NA,"Adult",1994
"909",NA,"Adult",1994
"915",NA,"Adult",1994
"131","FemaleJ","Adult",1995
"18","Male","Adult",1995
"390","FemaleJ","Adult",1995
"407","FemaleJ","Adult",1995
"531","FemaleJ","Adult",1995
"54","FemaleJ","Adult",1995
"633","FemaleJ","Adult",1995
"824","Male","Adult",1995
"950","FemaleJ","Adult",1995
"952","FemaleJ","Adult",1995
"959","FemaleJ","Adult",1995
"961","FemaleJ","Adult",1995
"962",NA,"Adult",1995
"965",NA,"Adult",1995
"970",NA,"Adult",1995
"971",NA,"Adult",1995
"977",NA,"Adult",1995
