"Individual","Year","Prop_Female"
"242","1988",0
"244","1988",0
"78","1988",0
"245","1988",0
"37","1988",0
"250","1988",1
"251","1988",0
"3","1988",0.0370634354953671
"223","1988",0
"43","1988",0
"78","1989",0.259037859379448
"37","1989",0.0206512418005989
"3","1989",0.0347481813524852
"1","1989",0.0345168879941738
"2","1989",0.0346406037362365
"5","1989",0.078105332891686
"8","1989",0.0695652173913043
"6","1989",0.181818181818182
"10","1989",0.0534848156020954
"9","1989",0
"13","1989",0.0369375091610886
"15","1989",0.0942337895445367
"14","1989",1
"17","1989",0
"22","1989",0
"26","1989",0
"24","1989",0
"32","1989",0.085995085995086
"25","1989",0.0254494041607756
"28","1989",0.0481676155624591
"29","1989",0
"21","1989",0
"41","1989",0
"34","1989",0
"33","1989",0.0722562197121261
"39","1989",0
"40","1989",0
"42","1989",0
"43","1989",0
"31","1989",0.346153846153846
"45","1989",0.171191356602603
"46","1989",0.143620340199585
"47","1989",0.104907768554214
"49","1989",0.16289592760181
"50","1989",0.237816764132554
"52","1989",0.30939226519337
"51","1989",0.0697867626696206
"54","1989",0.21465022573012
"9901","1989",0.0970812582739709
"57","1989",0.078471862278354
"61","1989",0.0550392313951054
"62","1989",0.223950233281493
"66","1989",0
"67","1989",0
"90","1989",0
"63","1989",0.149853599104592
"69","1989",0
"18","1989",0.0441257049362851
"74","1989",0
"75","1989",0.75
"76","1989",0.185074527737444
"83","1989",0.160245884383815
"89","1989",0.0478709203119268
"91","1989",0
"92","1989",0
"94","1989",0.0997226541733856
"97","1989",0.209302325581395
"98","1989",0.132654851728373
"101","1989",0.149359886201991
"102","1989",0.145805621123599
"104","1989",0.0740790553172031
"105","1989",0.486486486486487
"106","1989",0.0689321827871374
"111","1989",0.258064516129032
"115","1989",0.177719649176796
"116","1989",0.347826086956522
"118","1989",0.209727492238703
"119","1989",0.11285771866183
"120","1989",0.0734296872021914
"124","1989",0.0541411064709515
"127","1989",0
"131","1989",0.181071886504042
"132","1989",0
"134","1989",0.533980582524272
"129","1989",0.0882352941176471
"138","1989",0
"141","1989",0.219387755102041
"144","1989",0
"146","1989",0.117474302496329
"145","1989",0
"149","1989",0.346153846153846
"151","1989",0.666666666666667
"152","1989",0.136855825145378
"135","1989",0.6
"159","1989",0.363850873053327
"87","1989",1
"156","1989",0.592920353982301
"162","1989",0.309351090609228
"168","1989",0
"174","1989",0
"137","1989",0
"176","1989",0
"178","1989",0
"183","1989",0.0930232558139535
"9912","1989",0.402684563758389
"186","1989",0.237825594563986
"184","1989",0.183995327102804
"189","1989",0.319034852546917
"195","1989",0.291666666666667
"197","1989",0.291666666666667
"153","1989",0.163934426229508
"207","1989",0.517241379310345
"208","1989",0.27710843373494
"215","1989",0
"242","1990",0
"78","1990",0.486730456761148
"37","1990",0.230943273294952
"251","1990",0.313667445088797
"3","1990",0.199346393752575
"1","1990",0.176748107602749
"5","1990",0.634942522639583
"10","1990",0.0340865119441095
"9","1990",0
"13","1990",0.185029386318208
"15","1990",0
"22","1990",0
"32","1990",0.340935446463085
"28","1990",0.192170194288975
"21","1990",0
"34","1990",0
"40","1990",0.480712166172107
"43","1990",0
"45","1990",0.119919322247711
"46","1990",0.332024570958141
"47","1990",0.194396766523697
"51","1990",0.222528283325135
"54","1990",0.266614129573201
"57","1990",0.26821315981926
"61","1990",0.307304391416681
"63","1990",0.333930635804554
"18","1990",0.115996208461345
"74","1990",0
"76","1990",0.306964391855809
"83","1990",0.125695677915927
"89","1990",0.385779934165085
"92","1990",0
"94","1990",0.23354272565395
"98","1990",0.210155670867309
"101","1990",0.0788034737857832
"102","1990",0.190413252474074
"104","1990",0.128255767333934
"105","1990",0.169934640522876
"106","1990",0.331562929708732
"115","1990",0.123600592690155
"134","1990",0.101437024513948
"129","1990",0.436077057793345
"152","1990",0.173936626673791
"156","1990",1
"9912","1990",0.0694444444444444
"186","1990",0.303111301186785
"184","1990",0.268703321735008
"153","1990",0.357470210815765
"208","1990",0.189024390243902
"265","1990",0
"266","1990",0
"267","1990",0.244221115545413
"270","1990",0.5
"273","1990",0.474724429633427
"143","1990",0
"275","1990",0
"278","1990",0
"279","1990",0
"269","1990",1
"277","1990",0.209497206703911
"280","1990",0.421052631578947
"281","1990",0.285046728971963
"282","1990",0.280186630198697
"283","1990",0.256267409470752
"285","1990",0.464583333333333
"271","1990",0.172127064413534
"289","1990",0.316804513886212
"290","1990",0.175597169199197
"291","1990",0.135922330097087
"293","1990",0.565875914195361
"295","1990",0.181888246628131
"238","1990",0.182075805880269
"235","1990",0.38656529549939
"9913","1990",0.23331463825014
"304","1990",0.417103504985096
"305","1990",0.0641773628938156
"306","1990",0
"314","1990",0.118707260735779
"315","1990",0.222222222222222
"355","1990",0.214438884917798
"318","1990",0.191136878174142
"317","1990",0.309460307159502
"316","1990",0.105941555575174
"320","1990",0.489007652131665
"322","1990",0.689119170984456
"331","1990",0.664596273291925
"329","1990",0.405569620253165
"330","1990",0.24578313253012
"328","1990",0.0654307524536532
"333","1990",0.500548847420417
"332","1990",0.259872611464968
"337","1990",0.28735632183908
"240","1990",0.282089552238806
"237","1990",0.107388467642391
"348","1990",0.38961038961039
"9902","1990",0.271487703920136
"313","1990",0.178752107925801
"9910","1990",0.29673590504451
"360","1990",0
"59","1990",0.131845141982828
"361","1990",1
"363","1990",0.523809523809524
"166","1990",0
"370","1990",0
"158","1990",0.470588235294118
"374","1990",0.363636363636364
"375","1990",0.363636363636364
"380","1990",0.148777895855473
"384","1990",1
"385","1990",0.737265415549598
"386","1990",0.8
"389","1990",0.564102564102564
"390","1990",0.351904656720014
"394","1990",0
"395","1990",0
"399","1990",0.385852090032154
"405","1990",1
"406","1990",0.299290919834548
"407","1990",0.396878803063927
"213","1990",0.247178710162258
"64","1990",0.401215805471125
"409","1990",0.295338349080859
"413","1990",0.183583755957633
"418","1990",0.292517452721969
"425","1990",0.238877118644068
"433","1990",0.24894173115359
"435","1990",0.410546838733637
"432","1990",0.249640781170016
"436","1990",0.258224705152079
"420","1990",0.16044776119403
"427","1990",0.214868395227815
"437","1990",0.37791932059448
"440","1990",0.273177027317703
"85","1990",0.2215902214692
"448","1990",0.28052805280528
"449","1990",0.12545635579157
"452","1990",0.485549132947977
"453","1990",0.346153846153846
"464","1990",0
"461","1990",0
"465","1990",0
"466","1990",0
"468","1990",0
"467","1990",0
"473","1990",0
"470","1990",0
"479","1990",0.210526315789474
"450","1990",0.4
"477","1990",0
"478","1990",1
"480","1990",0.143901916679248
"483","1990",0.333333333333333
"484","1990",0
"9906","1990",0
"462","1990",0.281771005851827
"488","1990",0.209345794392523
"494","1990",0.242587601078167
"496","1990",0.0886524822695035
"498","1990",0
"16","1990",0.0825054769634142
"501","1990",0
"504","1990",0
"507","1990",0.404202756798725
"508","1990",0.12565445026178
"509","1990",0.132335565183143
"518","1990",0.252563814113497
"531","1990",0.289882469608733
"532","1990",0.546558704453441
"537","1990",0
"391","1990",0
"510","1990",0.765625
"544","1990",0.765625
"545","1990",0
"547","1990",0.728318160038332
"549","1990",0.23073500439742
"555","1990",0.5
"563","1990",0
"558","1990",0
"561","1990",0
"562","1990",0
"554","1990",0.196078431372549
"418","1991",0
"572","1991",1
"251","1993",0.345377830417076
"5","1993",0.302144382575795
"29","1993",0.8125
"45","1993",0.387228626884427
"54","1993",0.493066096922494
"61","1993",0.508131043205092
"102","1993",0.318321716319184
"159","1993",0.592783505154639
"267","1993",0.198594692051744
"235","1993",0.291609292116935
"305","1993",0.825
"317","1993",0.506399182624531
"237","1993",0.366838487972509
"9902","1993",0.410315490960652
"409","1993",0.482027573847652
"418","1993",0.68609865470852
"433","1993",0.296851574212893
"432","1993",0.28127600554785
"507","1993",0.15563981042654
"531","1993",0.503300192093815
"604","1993",0.285714285714286
"605","1993",0
"606","1993",0.0556792873051225
"613","1993",1
"607","1993",0.3
"618","1993",0.3
"617","1993",0.1
"619","1993",0.619335347432024
"623","1993",0.716216216216216
"624","1993",0.361848574237955
"625","1993",0.625
"626","1993",0.8125
"629","1993",0.231830197073988
"633","1993",0.378977419608637
"635","1993",1
"650","1993",0.682080924855491
"653","1993",0.549634442046756
"644","1993",0.627280625543006
"649","1993",0.577396096440873
"722","1993",1
"667","1993",0.684873949579832
"668","1993",1
"674","1993",1
"677","1993",0
"723","1993",0.914634146341464
"642","1993",1
"687","1993",1
"688","1993",0.444444444444444
"690","1993",0.222222222222222
"701","1993",0.260869565217391
"702","1993",0.35
"654","1993",1
"707","1993",0.426320902141319
"506","1993",0.627659574468085
"720","1993",0.787234042553192
"683","1993",0.627659574468085
"251","1994",0.112407754429451
"3","1994",0.232063520988465
"1","1994",0.220983646933718
"32","1994",0.391608391608392
"45","1994",0.276974036364864
"18","1994",0.121052663239287
"124","1994",0
"131","1994",0.27215493979492
"162","1994",0.202014549524342
"235","1994",0.527252081756245
"322","1994",0.509090909090909
"385","1994",0.5
"390","1994",0.419616557283861
"508","1994",0.615384615384615
"531","1994",0.0951775320155245
"549","1994",0
"624","1994",0.191315034821794
"629","1994",0.49269588313413
"633","1994",0.206623349175468
"653","1994",0.260692599149556
"702","1994",0.333333333333333
"707","1994",0.266451115111879
"801","1994",1
"803","1994",0
"804","1994",0.0736107593606832
"810","1994",1
"814","1994",1
"819","1994",0.395604395604396
"818","1994",0.545454545454545
"822","1994",0
"824","1994",0.108897370468543
"222","1994",0.4
"829","1994",0.6
"830","1994",0.75
"832","1994",0.489181472851617
"811","1994",0.5
"835","1994",0.615384615384615
"837","1994",0.615384615384615
"848","1994",0.261437908496732
"845","1994",0.253521126760563
"866","1994",0.46969696969697
"870","1994",0.388489208633094
"882","1994",0.527027027027027
"871","1994",0.269662921348315
"1336","1994",0.244783284194528
"887","1994",0.522471910112359
"865","1994",0.496402877697842
"895","1994",1
"850","1994",0
"849","1994",0
"905","1994",0.393179538615847
"907","1994",0.184971098265896
"909","1994",0.164383561643836
"915","1994",0.7
"54","1995",1
"18","1995",0.241837968561064
"131","1995",0.467005076142132
"390","1995",1
"407","1995",0.39873417721519
"531","1995",1
"633","1995",0.130434782608696
"824","1995",0.340287402436356
"952","1995",1
"950","1995",1
"959","1995",1
"961","1995",0.930669234472797
"962","1995",0
"965","1995",0
"970","1995",1
"971","1995",1
"977","1995",0.5
"37","1996",0.0586181968666554
"251","1996",0.364612577860762
"1","1996",0.0824666094492598
"10","1996",0.0139371974159672
"17","1996",0.123545060797846
"28","1996",0.0975372193060785
"33","1996",0.0267985802872758
"45","1996",0.0822838843901322
"54","1996",0.447843855600487
"9901","1996",0.0722926831962313
"57","1996",0.180463525410238
"18","1996",0.0647348195985668
"76","1996",0.155825255493662
"89","1996",0.40720236786598
"91","1996",0
"92","1996",0.0127656559828048
"102","1996",0.190948956109614
"120","1996",0.122046497017951
"124","1996",0.0292393363273426
"159","1996",0.378701953371141
"183","1996",0.212987601200249
"317","1996",0.285133855307582
"363","1996",0
"407","1996",0.173841059602649
"409","1996",0.253490924247606
"413","1996",0.0809898358136792
"418","1996",0
"427","1996",0
"466","1996",0.223053542202478
"480","1996",0.114692855723676
"507","1996",0.44670510708402
"531","1996",0.162215159294427
"549","1996",0.0384080658743685
"617","1996",0.199522182776252
"624","1996",0.474393068542507
"633","1996",0.342347365486479
"653","1996",0.295711986386582
"649","1996",0.11390872775693
"677","1996",0.207418837018788
"702","1996",0.128440366972477
"804","1996",0.071964451912951
"824","1996",0.0538393592467237
"905","1996",0.363962348722546
"907","1996",0.456521739130435
"909","1996",0.187290969899666
"952","1996",0.619710342249459
"950","1996",0.247389888952292
"1000","1996",0.611867704280156
"1009","1996",0
"1016","1996",1
"1019","1996",0.184252372130083
"1020","1996",0.25705599419185
"1022","1996",0.303656943839791
"1023","1996",0.404472532814779
"9911","1996",0.219112905972015
"9903","1996",0.166666666666667
"1063","1996",0.182956631012581
"1030","1996",0.111373011196229
"1032","1996",0
"1040","1996",0.129421593909589
"1042","1996",0.514754126926575
"1094","1996",0.178384442782349
"1043","1996",0.485010706638116
"1045","1996",0.455284552845528
"1046","1996",0.230307786563387
"1185","1996",0.552845528455285
"1047","1996",0
"9921","1996",0.261585216610916
"9907","1996",0.20354233311291
"1054","1996",0.210526315789474
"1057","1996",0.291749928632601
"1058","1996",0.149854815983476
"9920","1996",0.222470501675886
"1059","1996",0.288863764838892
"1062","1996",0.198521647307286
"303","1996",0.0836801259700821
"1066","1996",0
"1068","1996",0
"1069","1996",0.262582056892779
"1072","1996",0.348646110502426
"1081","1996",0.245086705202312
"1093","1996",0.346153846153846
"1097","1996",0
"1109","1996",0.212765957446809
"1110","1996",0
"1335","1996",0.230538531751206
"1114","1996",0.114022500661679
"1116","1996",0.189873417721519
"1121","1996",0.115833257979926
"1124","1996",1
"1126","1996",0.510204081632653
"1134","1996",0
"1136","1996",1
"1142","1996",0.142988929889299
"1140","1996",0.117647058823529
"1148","1996",0.183976261127596
"1152","1996",0.5
"1153","1996",0.5
"1155","1996",0.289053447406107
"1147","1996",0.199928076007189
"1158","1996",0.363636363636364
"1163","1996",0.255813953488372
"1160","1996",0.405797101449275
"1168","1996",0
"1173","1996",0.201801801801802
"1174","1996",0.6
"1176","1996",0.347826086956522
"1179","1996",0.347826086956522
"1190","1996",0
"37","1997",0.152305381415498
"251","1997",0.425663816794648
"1","1997",0.200283875936588
"5","1997",0.418105101649405
"9","1997",0.125279912848756
"28","1997",0.148785836823248
"45","1997",0.154464380696759
"54","1997",0.248133081159247
"9901","1997",0.220592073168366
"18","1997",0.266861327969003
"76","1997",0.369265531059417
"89","1997",0.374313873675916
"92","1997",0.227932984556908
"94","1997",0.342422351716389
"102","1997",0.183120749882518
"120","1997",0.263201651629288
"124","1997",0.236980593014714
"127","1997",0.411899313501144
"131","1997",0.318864040067846
"159","1997",0.284704330184335
"162","1997",0.394004246768301
"143","1997",0.207510951419993
"317","1997",0.241676612206264
"59","1997",0.141464061093656
"409","1997",0.207589567101529
"413","1997",0.223446729558253
"480","1997",0.330605561107672
"507","1997",0.205301267132144
"509","1997",0.202898550724638
"606","1997",0.242314831625018
"619","1997",0.167992926613616
"624","1997",0.687931014894511
"635","1997",1
"653","1997",0.392440634293437
"649","1997",0.539607751920393
"677","1997",0.131055883090667
"707","1997",0.348264104153751
"804","1997",0.119444277134234
"824","1997",0.106284986145302
"832","1997",0.323371733153281
"1336","1997",0.557321435283763
"952","1997",0.299619869826965
"950","1997",0.160436732888179
"959","1997",0.567595459236326
"961","1997",0.413164238255533
"1000","1997",0.57085823454492
"1020","1997",0.241390905085453
"1022","1997",0.379246831768404
"9911","1997",0.158236256354428
"1063","1997",0.558581882545637
"1042","1997",0.503886294279307
"1094","1997",0.183955576559546
"1046","1997",0.422984536856328
"1069","1997",0.410351201478743
"1335","1997",0.309047010367845
"1114","1997",0.313693576388889
"1147","1997",0.487252659315381
"1205","1997",0.516129032258065
"1217","1997",0.29112145428998
"1219","1997",0.254545454545455
"1220","1997",0.280481041478152
"1221","1997",0.225988700564972
"1227","1997",0.64
"1233","1997",0.390243902439024
"1234","1997",0.390243902439024
"1237","1997",0.673913043478261
"1239","1997",0.388046983560997
"1247","1997",0.3125
"1248","1997",0.310880829015544
"1249","1997",0
"1251","1997",0.416666666666667
"1253","1997",0.368852459016393
"1254","1997",0
"1255","1997",1
"170","1997",0.54460302551322
"1258","1997",0.403489640130862
"1261","1997",0.780487804878049
"1264","1997",0.549356223175966
"1266","1997",0.549356223175966
"1267","1997",0.249062877410303
"1272","1997",0.652892561983471
"1270","1997",0.765625
"1275","1997",0.807692307692308
"1276","1997",0.761904761904762
"1277","1997",0.761904761904762
"1280","1997",0.613733905579399
"1281","1997",0.673913043478261
"1274","1997",1
"1284","1997",0.398009950248756
"9914","1997",0.733025708635465
"1291","1997",1
"1296","1997",0.477763659466328
"1292","1997",0.21899419009735
"1293","1997",0.514757969303424
"1297","1997",0.238805970149254
"1301","1997",0.256410256410256
"1307","1997",0.70608467774957
"1309","1997",0.698151950718686
"1311","1997",0.6875
"1313","1997",0.415644589806487
"1315","1997",0.372340425531915
"1317","1997",0.524235246173047
"1320","1997",0.675675675675676
"1329","1997",0.423228346456693
"1332","1997",0.263626028221762
"1334","1997",0.365922208771205
"1337","1997",0.409659449077213
"1351","1997",0.755678131083712
"1345","1997",1
"1346","1997",0.5
"1344","1997",0.5
"1348","1997",0.3
"1350","1997",1
"185","1997",1
"1354","1997",1
"1357","1997",0.669421487603306
"1358","1997",0.549963475014204
"1146","1997",0.43768740532103
"1362","1997",0.78494623655914
"1364","1997",0.834236790683167
"1369","1997",1
"1370","1997",0.814159292035398
"37","1998",0.15075444311421
"251","1998",0.31165264469991
"3","1998",0.194877487448003
"1","1998",0.137985967501688
"10","1998",0.130885181321771
"33","1998",0.120004633280186
"45","1998",0.21497040879269
"54","1998",0.307575817588041
"9901","1998",0.29377449894831
"89","1998",0.537720154451289
"94","1998",0.434245094110522
"102","1998",0.351539809168455
"118","1998",0.267920271253058
"131","1998",0.176745682891267
"159","1998",0.570670006261741
"409","1998",0.181994590660016
"413","1998",0.131824874426819
"480","1998",0.286080493702559
"518","1998",0.478891230637168
"549","1998",0.0551332535587628
"653","1998",0.312613814262259
"677","1998",0.364262646983173
"804","1998",0.149387058778785
"824","1998",0.161173112024414
"222","1998",0.548387096774194
"1336","1998",0.634590222651053
"952","1998",0.513727993070722
"950","1998",0.392672746314515
"961","1998",0.39292655538496
"1019","1998",0.226441503624273
"303","1998",0.47930174563591
"1155","1998",0.151305401770267
"1147","1998",0.435552439332243
"1239","1998",0.287660917300654
"1253","1998",0
"170","1998",0.407073716162096
"1272","1998",0.806201550387597
"1284","1998",1
"1313","1998",0.403091704132537
"1329","1998",0.455922865013774
"1332","1998",0.416176173079326
"1334","1998",0.425896310959828
"1337","1998",0.370461312068093
"1358","1998",0.28453247014845
"1146","1998",0.333263602944867
"1404","1998",0.402243950934414
"1420","1998",0.76
"1410","1998",0.465656775264578
"1417","1998",0.344908283112656
"1414","1998",0.343137254901961
"1424","1998",0.265634121033682
"1422","1998",0.0486706533420624
"1438","1998",0.262640584446794
"1426","1998",0.125
"1429","1998",1
"1436","1998",0.319148936170213
"1435","1998",0.411680032901501
"1442","1998",0.576158940397351
"1450","1998",0.420382165605096
"1451","1998",0.463735267452403
"1452","1998",1
"1461","1998",0.110096453260077
"9915","1998",0.39647577092511
"1466","1998",0.68
"1469","1998",0.4107862320797
"1470","1998",0.491883231458198
"1472","1998",0.216277676978167
"1473","1998",0.427046263345196
"56R","1998",1
"1479","1998",1
"1458","1998",0.137897384600848
"1488","1998",1
"1493","1998",0.259067357512953
"1496","1998",0.6
"1497","1998",0.6
"1500","1998",0.531914893617021
"1501","1998",0.522375205764682
"1503","1998",0.495412844036697
"1504","1998",0.571428571428572
"1505","1998",0.571428571428572
"1507","1998",0.62625323138789
"1418","1998",0.453695940116413
"1510","1998",0.473655464479726
"1512","1998",0.595674707014346
"1513","1998",0.709292412617221
"1515","1998",0.782690498588899
"37","1999",0.0728462323506244
"251","1999",0.619411017073401
"3","1999",0.348502144939931
"1","1999",0.0568942743965434
"10","1999",0.0277453760051462
"17","1999",0.350009222296879
"33","1999",0.145265067467288
"45","1999",0.359065665128852
"54","1999",0.234170656600776
"76","1999",0.149053679602181
"94","1999",0.415091450379204
"102","1999",0.128570426784351
"120","1999",0.102259695504043
"127","1999",0.774695132604214
"131","1999",0.193915582753764
"162","1999",0.897603598369642
"413","1999",0.111608805636855
"480","1999",0.15924385375425
"531","1999",0.397037151398896
"549","1999",0.123170079351043
"624","1999",0.615834882237079
"653","1999",0.358779511577726
"674","1999",0.417590241355578
"723","1999",0.535433070866142
"804","1999",0.0995933454449789
"824","1999",0.121514751172054
"832","1999",0.565153365310011
"1336","1999",0.52369810177489
"905","1999",0.490438509726344
"952","1999",0.54578468346748
"1019","1999",0.446934761210981
"1022","1999",0.780392156862745
"9911","1999",0.130383194656916
"1040","1999",0.142470155473259
"1114","1999",0.25289913816851
"1147","1999",0.530645447431145
"170","1999",0.460294476294444
"9914","1999",0.980804919258787
"1332","1999",0.522328970363049
"1334","1999",0.449929551718138
"1146","1999",0.316609104115173
"1438","1999",0.24330900243309
"1461","1999",0.109066146911012
"1469","1999",0.419024403767065
"1470","1999",0.463127813451378
"1472","1999",0.208591009197114
"1493","1999",0.18848167539267
"1602","1999",0.607142857142857
"9908","1999",0.325581395348837
"1618","1999",0.593430234161679
"1621","1999",0.578313253012048
"1605","1999",0.403785488958991
"1622","1999",0.413793103448276
"1623","1999",0.3125
"1626","1999",0.307692307692308
"1628","1999",0.613992496137718
"1630","1999",0.468928962910445
"1631","1999",0.563258232235702
"1632","1999",0.672443674176776
"1633","1999",0.337483262619339
"1634","1999",0.339769301676674
"1645","1999",0.47451292574591
"1651","1999",0.784144588211132
"1662","1999",0.665051483949122
"1667","1999",1
"1672","1999",0.36
"1674","1999",0.673913043478261
"1676","1999",0.224052087322865
"1677","1999",0.298578199052133
"9904","1999",0
"9916","1999",0
"1687","1999",0
"1692","1999",0.366480446927374
"1693","1999",0.275862068965517
"2102","1999",0.225988477626075
"1695","1999",0.176470588235294
"1696","1999",0.176470588235294
"1697","1999",0.176470588235294
"37","2001",0.091458936392197
"3","2001",0.112090865789104
"1","2001",0.0344057220075048
"5","2001",0.0861045555317171
"9","2001",0.280723436876308
"17","2001",0.12482853223594
"28","2001",0.0763872471800741
"33","2001",0.113200278336139
"45","2001",0.162282518752083
"57","2001",0.0273884669451687
"89","2001",0.126099785746457
"92","2001",0.0998976912725639
"102","2001",0.156063413118777
"293","2001",0.211477205273762
"213","2001",0.0696091986424534
"480","2001",0.0670980587412856
"16","2001",0.341864716636197
"507","2001",0.134135193649266
"531","2001",0.163748537436875
"606","2001",0.0576832985762802
"653","2001",0.0149240132657896
"677","2001",0.0235133943332603
"824","2001",0.0175691856974903
"1336","2001",0.234611051070386
"1019","2001",0.216532165599901
"1173","2001",0.0847628657921292
"1313","2001",0.101403600922116
"1364","2001",0.108520437535982
"1676","2001",0.0427649848335968
"1642","2001",0
"1715","2001",0
"1716","2001",1
"1720","2001",0.5
"1721","2001",0.5
"1723","2001",0.320754716981132
"1730","2001",0.523809523809524
"1735","2001",0.470588235294118
"1737","2001",0.571428571428572
"1739","2001",0.255358835316609
"1744","2001",0.4
"1749","2001",0.4
"1750","2001",0.4
"1753","2001",0.178571428571429
"1752","2001",0.478260869565217
"1757","2001",0.146031419992996
"1759","2001",0.666666666666667
"1756","2001",0.666666666666667
"1764","2001",0
"1765","2001",0
"1771","2001",0
"1779","2001",0.178031888182123
"1777","2001",0
"1774","2001",0
"1796","2001",0.09375
"1803","2001",0.09375
"1804","2001",0.09375
"1825","2001",0.2
"1818","2001",0
"1791","2001",0
"1829","2001",0.138720715977889
"1832","2001",0.333333333333333
"37","2002",0.0504626003624538
"251","2002",0.198613821999266
"3","2002",0.102257288696674
"1","2002",0.0422728816163437
"10","2002",0.046146386020595
"9","2002",0.105605939723529
"17","2002",0.256139638062134
"28","2002",0.192160090188476
"33","2002",0.0471659000946943
"45","2002",0.159646414562176
"76","2002",0.124657192965996
"92","2002",0.0672226880742388
"102","2002",0.158681134336047
"120","2002",0.0296270155411769
"124","2002",0.0633329129394906
"127","2002",0.128043111190947
"293","2002",0.19718434082163
"317","2002",0.168873743691498
"213","2002",0.115959492650153
"409","2002",0.170714303096746
"413","2002",0.0556468265906048
"480","2002",0.0744133253099497
